,title,caption,category,description,url,legiscan,congress
28,US HB6658,SAFE Home Act Sensible Adoption For Every Home Act,OTHER,SAFE Home Act Sensible Adoption For Every Home Act,https://translegislation.com//bills/2024/US/HB6658,https://legiscan.com/US/text/HB6658/id/2866510,https://www.congress.gov/bill/118th-congress/house-bill/6658/all-info
29,US HB6728,Save Women’s Sports Act of 2023,SPORTS,Save Women’s Sports Act of 2023,https://translegislation.com//bills/2024/US/HB6728,https://legiscan.com/US/text/HB6728/id/2866449,https://www.congress.gov/bill/118th-congress/house-bill/6728/all-info
30,US HB7183,PROTECTS Act of 2024 Protecting Resources Of Taxpayers to Eliminate Childhood Transgender Surgeries Act of 2024,HEALTHCARE,PROTECTS Act of 2024 Protecting Resources Of Taxpayers to Eliminate Childhood Transgender Surgeries Act of 2024,https://translegislation.com//bills/2024/US/HB7183,https://legiscan.com/US/text/HB7183/id/2930086,https://www.congress.gov/bill/118th-congress/house-bill/7183/all-info
31,US HB7187,Protection of Women in Olympic and Amateur Sports Act,SPORTS,Protection of Women in Olympic and Amateur Sports Act,https://translegislation.com//bills/2024/US/HB7187,https://legiscan.com/US/text/HB7187/id/2930340,https://www.congress.gov/bill/118th-congress/house-bill/7187/all-info
32,US HB734,Protection of Women and Girls in Sports Act of 2023,SPORTS,Protection of Women and Girls in Sports Act of 2023,https://translegislation.com//bills/2024/US/HB734,https://legiscan.com/US/text/HB734/id/2787793,https://www.congress.gov/bill/118th-congress/house-bill/734/all-info
33,US HB736,PROTECT Kids Act Parental Rights Over The Education and Care of Their Kids Act,EDUCATION,PROTECT Kids Act Parental Rights Over The Education and Care of Their Kids Act,https://translegislation.com//bills/2024/US/HB736,https://legiscan.com/US/text/HB736/id/3023788,https://www.congress.gov/bill/118th-congress/house-bill/736/all-info
34,US HB7725,"To amend the Higher Education Act of 1965 to prohibit graduate medical schools from receiving Federal financial assistance if such schools adopt certain policies and requirements relating to diversity, equity, and inclusion.",EDUCATION,"To amend the Higher Education Act of 1965 to prohibit graduate medical schools from receiving Federal financial assistance if such schools adopt certain policies and requirements relating to diversity, equity, and inclusion.",https://translegislation.com//bills/2024/US/HB7725,https://legiscan.com/US/text/HB7725/id/2974064,https://www.congress.gov/bill/118th-congress/house-bill/7725/all-info
35,US HB8070,Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025,HEALTHCARE,Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025,https://translegislation.com//bills/2024/US/HB8070,https://legiscan.com/US/text/HB8070/id/3011826,https://www.congress.gov/bill/118th-congress/house-bill/8070/all-info
36,US HB8433,Abolishing Woke Awards for Research and Development Act of 2024,EDUCATION,Abolishing Woke Awards for Research and Development Act of 2024,https://translegislation.com//bills/2024/US/HB8433,https://legiscan.com/US/text/HB8433/id/3012543,https://www.congress.gov/bill/118th-congress/house-bill/8433/all-info
37,US HB8580,"Military Construction, Veterans Affairs, and Related Agencies Appropriations Act, 2025",HEALTHCARE,"Military Construction, Veterans Affairs, and Related Agencies Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB8580,https://legiscan.com/US/text/HB8580/id/3020996,https://www.congress.gov/bill/118th-congress/house-bill/8580/all-info
38,US HB8708,Eliminate DEI in Colleges Act,EDUCATION,Eliminate DEI in Colleges Act,https://translegislation.com//bills/2024/US/HB8708,https://legiscan.com/US/text/HB8708/id/3016017,https://www.congress.gov/bill/118th-congress/house-bill/8708/all-info
39,US HB8752,"Department of Homeland Security Appropriations Act, 2025",HEALTHCARE,"Department of Homeland Security Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB8752,https://legiscan.com/US/text/HB8752/id/3013700,https://www.congress.gov/bill/118th-congress/house-bill/8752/all-info
40,US HB8771,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2025",HEALTHCARE,"Department of State, Foreign Operations, and Related Programs Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB8771,https://legiscan.com/US/text/HB8771/id/3020997,https://www.congress.gov/bill/118th-congress/house-bill/8771/all-info
41,US HB8774,"Department of Defense Appropriations Act, 2025",HEALTHCARE,"Department of Defense Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB8774,https://legiscan.com/US/text/HB8774/id/3020988,https://www.congress.gov/bill/118th-congress/house-bill/8774/all-info
42,US HB8985,Preventing Forced Abortions Act of 2024,OTHER,Preventing Forced Abortions Act of 2024,https://translegislation.com//bills/2024/US/HB8985,https://legiscan.com/US/text/HB8985/id/3017529,https://www.congress.gov/bill/118th-congress/house-bill/8985/all-info
43,US HB8997,"Energy and Water Development and Related Agencies Appropriations Act, 2025",MARRIAGE,"Energy and Water Development and Related Agencies Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB8997,https://legiscan.com/US/text/HB8997/id/3014401,https://www.congress.gov/bill/118th-congress/house-bill/8997/all-info
44,US HB8998,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2025",MARRIAGE,"Department of the Interior, Environment, and Related Agencies Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB8998,https://legiscan.com/US/text/HB8998/id/3021001,https://www.congress.gov/bill/118th-congress/house-bill/8998/all-info
45,US HB9026,"Science Appropriations Act, 2025 Department of Justice Appropriations Act, 2025 Department of Commerce Appropriations Act, 2025",HEALTHCARE,"Science Appropriations Act, 2025 Department of Justice Appropriations Act, 2025 Department of Commerce Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB9026,https://legiscan.com/US/text/HB9026/id/3014403,https://www.congress.gov/bill/118th-congress/house-bill/9026/all-info
46,US HB9027,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2025",MARRIAGE,"Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB9027,https://legiscan.com/US/text/HB9027/id/3014469,https://www.congress.gov/bill/118th-congress/house-bill/9027/all-info
47,US HB9028,"Department of Transportation Appropriations Act, 2025 Department of Housing and Urban Development Appropriations Act, 2025",MARRIAGE,"Department of Transportation Appropriations Act, 2025 Department of Housing and Urban Development Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB9028,https://legiscan.com/US/text/HB9028/id/3014468,https://www.congress.gov/bill/118th-congress/house-bill/9028/all-info
48,US HB9029,"Department of Education Appropriations Act, 2025 Department of Health and Human Services Appropriations Act, 2025 Department of Labor Appropriations Act, 2025",HEALTHCARE,"Department of Education Appropriations Act, 2025 Department of Health and Human Services Appropriations Act, 2025 Department of Labor Appropriations Act, 2025",https://translegislation.com//bills/2024/US/HB9029,https://legiscan.com/US/text/HB9029/id/3014470,https://www.congress.gov/bill/118th-congress/house-bill/9029/all-info
49,US HB9218,Defining Male and Female Act of 2024,CIVIL RIGHTS,Defining Male and Female Act of 2024,https://translegislation.com//bills/2024/US/HB9218,https://legiscan.com/US/text/HB9218/id/3019830,https://www.congress.gov/bill/118th-congress/house-bill/9218/all-info
50,US HB9586,STOP WEIRD Act of 2024 Stopping Transgender Operation Payments and Wacky Expenses for Illegal Residents and Detainees Act of 2024,HEALTHCARE,STOP WEIRD Act of 2024 Stopping Transgender Operation Payments and Wacky Expenses for Illegal Residents and Detainees Act of 2024,https://translegislation.com//bills/2024/US/HB9586,https://legiscan.com/US/text/HB9586/id/3021417,https://www.congress.gov/bill/118th-congress/house-bill/9586/all-info
51,US HB985,Productivity Over Pronouns Act,OTHER,Productivity Over Pronouns Act,https://translegislation.com//bills/2024/US/HB985,https://legiscan.com/US/text/HB985/id/2727973,https://www.congress.gov/bill/118th-congress/house-bill/985/all-info
52,US HJR160,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Health and Human Services relating to ""Nondiscrimination in Health Programs and Activities"".",HEALTHCARE,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Health and Human Services relating to ""Nondiscrimination in Health Programs and Activities"".",https://translegislation.com//bills/2024/US/HJR160,https://legiscan.com/US/text/HJR160/id/3003197,https://www.congress.gov/bill/118th-congress/house-joint-resolution/160/all-info
53,US HJR165,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to ""Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance"".",EDUCATION,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Education relating to ""Nondiscrimination on the Basis of Sex in Education Programs or Activities Receiving Federal Financial Assistance"".",https://translegislation.com//bills/2024/US/HJR165,https://legiscan.com/US/text/HJR165/id/3015576,https://www.congress.gov/bill/118th-congress/house-joint-resolution/165/all-info
