Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
H.R. 6441,https://www.congress.gov/bill/117th-congress/house-bill/6441,117,Reported in House,RH,Women’s Business Centers Improvement Act of 2022,https://www.congress.gov/117/bills/hr6441/generated/BILLS-117hr6441rh.html,https://www.congress.gov/117/bills/hr6441/BILLS-117hr6441rh.pdf
H.R. 5842,https://www.congress.gov/bill/117th-congress/house-bill/5842,117,Introduced in House,IH,Ending the Monopoly of Power Over Workplace Harassment through Education and Reporting Act,https://www.congress.gov/117/bills/hr5842/generated/BILLS-117hr5842ih.html,https://www.congress.gov/117/bills/hr5842/BILLS-117hr5842ih.pdf
H.R. 5666,https://www.congress.gov/bill/117th-congress/house-bill/5666,117,Introduced in House,IH,Servicemembers and Veterans Empowerment and Support Act of 2021,https://www.congress.gov/117/bills/hr5666/generated/BILLS-117hr5666ih.html,https://www.congress.gov/117/bills/hr5666/BILLS-117hr5666ih.pdf
H.R. 4678,https://www.congress.gov/bill/117th-congress/house-bill/4678,117,Introduced in House,IH,Women's Retirement Protection Act,https://www.congress.gov/117/bills/hr4678/generated/BILLS-117hr4678ih.html,https://www.congress.gov/117/bills/hr4678/BILLS-117hr4678ih.pdf
H.R. 3607,https://www.congress.gov/bill/117th-congress/house-bill/3607,117,Introduced in House,IH,Buy Green Act of 2021,https://www.congress.gov/117/bills/hr3607/generated/BILLS-117hr3607ih.html,https://www.congress.gov/117/bills/hr3607/BILLS-117hr3607ih.pdf
H.R. 1155,https://www.congress.gov/bill/117th-congress/house-bill/1155,117,Engrossed in House,EH,Uyghur Forced Labor Prevention Act,https://www.congress.gov/117/bills/hr1155/generated/BILLS-117hr1155eh.html,https://www.congress.gov/117/bills/hr1155/BILLS-117hr1155eh.pdf
H.R. 1155,https://www.congress.gov/bill/117th-congress/house-bill/1155,117,Introduced in House,IH,Uyghur Forced Labor Prevention Act,https://www.congress.gov/117/bills/hr1155/generated/BILLS-117hr1155ih.html,https://www.congress.gov/117/bills/hr1155/BILLS-117hr1155ih.pdf
H.R. 1155,https://www.congress.gov/bill/117th-congress/house-bill/1155,117,Received in Senate,RDS,Uyghur Forced Labor Prevention Act,https://www.congress.gov/117/bills/hr1155/generated/BILLS-117hr1155rds.html,https://www.congress.gov/117/bills/hr1155/BILLS-117hr1155rds.pdf
H.R. 4350,https://www.congress.gov/bill/117th-congress/house-bill/4350,117,Reported in House,RH,National Defense Authorization Act for Fiscal Year 2022,https://www.congress.gov/117/bills/hr4350/generated/BILLS-117hr4350rh.html,https://www.congress.gov/117/bills/hr4350/BILLS-117hr4350rh.pdf
H.R. 9624,https://www.congress.gov/bill/117th-congress/house-bill/9624,117,Introduced in House,IH,Gun Violence Prevention and Community Safety Act of 2022,https://www.congress.gov/117/bills/hr9624/generated/BILLS-117hr9624ih.html,https://www.congress.gov/117/bills/hr9624/BILLS-117hr9624ih.pdf
H.R. 9021,https://www.congress.gov/bill/117th-congress/house-bill/9021,117,Introduced in House,IH,Websites and Software Applications Accessibility Act,https://www.congress.gov/117/bills/hr9021/generated/BILLS-117hr9021ih.html,https://www.congress.gov/117/bills/hr9021/BILLS-117hr9021ih.pdf
H.R. 7910,https://www.congress.gov/bill/117th-congress/house-bill/7910,117,Engrossed in House,EH,Protecting Our Kids Act,https://www.congress.gov/117/bills/hr7910/generated/BILLS-117hr7910eh.html,https://www.congress.gov/117/bills/hr7910/BILLS-117hr7910eh.pdf
H.R. 7910,https://www.congress.gov/bill/117th-congress/house-bill/7910,117,Received in Senate,RDS,Protecting Our Kids Act,https://www.congress.gov/117/bills/hr7910/generated/BILLS-117hr7910rds.html,https://www.congress.gov/117/bills/hr7910/BILLS-117hr7910rds.pdf
H.R. 3442,https://www.congress.gov/bill/117th-congress/house-bill/3442,117,Introduced in House,IH,National Prescribed Fire Act of 2021,https://www.congress.gov/117/bills/hr3442/generated/BILLS-117hr3442ih.html,https://www.congress.gov/117/bills/hr3442/BILLS-117hr3442ih.pdf
H.R. 3386,https://www.congress.gov/bill/117th-congress/house-bill/3386,117,Introduced in House,IH,Smart Cities and Communities Act of 2021,https://www.congress.gov/117/bills/hr3386/generated/BILLS-117hr3386ih.html,https://www.congress.gov/117/bills/hr3386/BILLS-117hr3386ih.pdf
H.R. 1911,https://www.congress.gov/bill/117th-congress/house-bill/1911,117,Introduced in House,IH,Child Care is Infrastructure Act,https://www.congress.gov/117/bills/hr1911/generated/BILLS-117hr1911ih.html,https://www.congress.gov/117/bills/hr1911/BILLS-117hr1911ih.pdf
H.R. 804,https://www.congress.gov/bill/117th-congress/house-bill/804,117,Introduced in House,IH,FAMILY Act,https://www.congress.gov/117/bills/hr804/generated/BILLS-117hr804ih.html,https://www.congress.gov/117/bills/hr804/BILLS-117hr804ih.pdf
H.R. 9136,https://www.congress.gov/bill/117th-congress/house-bill/9136,117,Introduced in House,IH,Campus Accountability and Safety Act,https://www.congress.gov/117/bills/hr9136/generated/BILLS-117hr9136ih.html,https://www.congress.gov/117/bills/hr9136/BILLS-117hr9136ih.pdf
H.R. 1157,https://www.congress.gov/bill/117th-congress/house-bill/1157,117,Engrossed in House,EH,Department of State Authorization Act of 2021,https://www.congress.gov/117/bills/hr1157/generated/BILLS-117hr1157eh.html,https://www.congress.gov/117/bills/hr1157/BILLS-117hr1157eh.pdf
H.R. 1157,https://www.congress.gov/bill/117th-congress/house-bill/1157,117,Introduced in House,IH,Department of State Authorization Act of 2021,https://www.congress.gov/117/bills/hr1157/generated/BILLS-117hr1157ih.html,https://www.congress.gov/117/bills/hr1157/BILLS-117hr1157ih.pdf
H.R. 1157,https://www.congress.gov/bill/117th-congress/house-bill/1157,117,Referred in Senate,RFS,Department of State Authorization Act of 2021,https://www.congress.gov/117/bills/hr1157/generated/BILLS-117hr1157rfs.html,https://www.congress.gov/117/bills/hr1157/BILLS-117hr1157rfs.pdf
H.R. 1157,https://www.congress.gov/bill/117th-congress/house-bill/1157,117,Reported in House,RH,Department of State Authorization Act of 2021,https://www.congress.gov/117/bills/hr1157/generated/BILLS-117hr1157rh.html,https://www.congress.gov/117/bills/hr1157/BILLS-117hr1157rh.pdf
H.R. 7900,https://www.congress.gov/bill/117th-congress/house-bill/7900,117,Reported in House,RH,National Defense Authorization Act for Fiscal Year 2023,https://www.congress.gov/117/bills/hr7900/generated/BILLS-117hr7900rh.html,https://www.congress.gov/117/bills/hr7900/BILLS-117hr7900rh.pdf
H.R. 4521,https://www.congress.gov/bill/117th-congress/house-bill/4521,117,Engrossed in House,EH,"United States 
Innovation and Competition Act of 2021",https://www.congress.gov/117/bills/hr4521/generated/BILLS-117hr4521eh.html,https://www.congress.gov/117/bills/hr4521/BILLS-117hr4521eh.pdf
H.R. 4521,https://www.congress.gov/bill/117th-congress/house-bill/4521,117,Placed on Calendar Senate,PCS,"United States 
Innovation and Competition Act of 2021",https://www.congress.gov/117/bills/hr4521/generated/BILLS-117hr4521pcs.html,https://www.congress.gov/117/bills/hr4521/BILLS-117hr4521pcs.pdf
H.R. 6580,https://www.congress.gov/bill/117th-congress/house-bill/6580,117,Introduced in House,IH,Algorithmic Accountability Act of 2022,https://www.congress.gov/117/bills/hr6580/generated/BILLS-117hr6580ih.html,https://www.congress.gov/117/bills/hr6580/BILLS-117hr6580ih.pdf
H.R. 6311,https://www.congress.gov/bill/117th-congress/house-bill/6311,117,Introduced in House,IH,Comprehensive Addiction Resources Emergency Act of 2021,https://www.congress.gov/117/bills/hr6311/generated/BILLS-117hr6311ih.html,https://www.congress.gov/117/bills/hr6311/BILLS-117hr6311ih.pdf
H.R. 7900,https://www.congress.gov/bill/117th-congress/house-bill/7900,117,Engrossed in House,EH,National Defense Authorization Act for Fiscal Year 2023,https://www.congress.gov/117/bills/hr7900/generated/BILLS-117hr7900eh.html,https://www.congress.gov/117/bills/hr7900/BILLS-117hr7900eh.pdf
H.R. 7900,https://www.congress.gov/bill/117th-congress/house-bill/7900,117,Placed on Calendar Senate,PCS,National Defense Authorization Act for Fiscal Year 2023,https://www.congress.gov/117/bills/hr7900/generated/BILLS-117hr7900pcs.html,https://www.congress.gov/117/bills/hr7900/BILLS-117hr7900pcs.pdf
H.R. 7910,https://www.congress.gov/bill/117th-congress/house-bill/7910,117,Reported in House,RH,Protecting Our Kids Act,https://www.congress.gov/117/bills/hr7910/generated/BILLS-117hr7910rh.html,https://www.congress.gov/117/bills/hr7910/BILLS-117hr7910rh.pdf
H.R. 4942,https://www.congress.gov/bill/117th-congress/house-bill/4942,117,Introduced in House,IH,BETTER Kidney Care Act,https://www.congress.gov/117/bills/hr4942/generated/BILLS-117hr4942ih.html,https://www.congress.gov/117/bills/hr4942/BILLS-117hr4942ih.pdf
