Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
S. 5242,https://www.congress.gov/bill/117th-congress/senate-bill/5242,117,Introduced in Senate,IS,International Violence Against Women Act of 2022,https://www.congress.gov/117/bills/s5242/generated/BILLS-117s5242is.html,https://www.congress.gov/117/bills/s5242/BILLS-117s5242is.pdf
S. 777,https://www.congress.gov/bill/117th-congress/senate-bill/777,117,Introduced in Senate,IS,End Taxpayer Funding of Gender Experimentation Act of 2021,https://www.congress.gov/117/bills/s777/generated/BILLS-117s777is.html,https://www.congress.gov/117/bills/s777/BILLS-117s777is.pdf
S. 393,https://www.congress.gov/bill/117th-congress/senate-bill/393,117,Introduced in Senate,IS,Equality Act,https://www.congress.gov/117/bills/s393/generated/BILLS-117s393is.html,https://www.congress.gov/117/bills/s393/BILLS-117s393is.pdf
S. 4131,https://www.congress.gov/bill/117th-congress/senate-bill/4131,117,Introduced in Senate,IS,No Tax Breaks for Radical Corporate Activism Act,https://www.congress.gov/117/bills/s4131/generated/BILLS-117s4131is.html,https://www.congress.gov/117/bills/s4131/BILLS-117s4131is.pdf
S. 3037,https://www.congress.gov/bill/117th-congress/senate-bill/3037,117,Introduced in Senate,IS,Empower Parents to Protect Their Kids Act of 2021,https://www.congress.gov/117/bills/s3037/generated/BILLS-117s3037is.html,https://www.congress.gov/117/bills/s3037/BILLS-117s3037is.pdf
S. 2287,https://www.congress.gov/bill/117th-congress/senate-bill/2287,117,Introduced in Senate,IS,LGBTQ Data Inclusion Act,https://www.congress.gov/117/bills/s2287/generated/BILLS-117s2287is.html,https://www.congress.gov/117/bills/s2287/BILLS-117s2287is.pdf
S. 778,https://www.congress.gov/bill/117th-congress/senate-bill/778,117,Introduced in Senate,IS,Protecting Children From Experimentation Act of 2021,https://www.congress.gov/117/bills/s778/generated/BILLS-117s778is.html,https://www.congress.gov/117/bills/s778/BILLS-117s778is.pdf
S. 2186,https://www.congress.gov/bill/117th-congress/senate-bill/2186,117,Introduced in Senate,IS,Patsy T. Mink and Louise M. Slaughter Gender Equity in Education Act of 2021,https://www.congress.gov/117/bills/s2186/generated/BILLS-117s2186is.html,https://www.congress.gov/117/bills/s2186/BILLS-117s2186is.pdf
S. 2087,https://www.congress.gov/bill/117th-congress/senate-bill/2087,117,Introduced in Senate,IS,Voices for Veterans Act 2021,https://www.congress.gov/117/bills/s2087/generated/BILLS-117s2087is.html,https://www.congress.gov/117/bills/s2087/BILLS-117s2087is.pdf
S. 1848,https://www.congress.gov/bill/117th-congress/senate-bill/1848,117,Introduced in Senate,IS,John Lewis Every Child Deserves a Family Act,https://www.congress.gov/117/bills/s1848/generated/BILLS-117s1848is.html,https://www.congress.gov/117/bills/s1848/BILLS-117s1848is.pdf
S. 1980,https://www.congress.gov/bill/117th-congress/senate-bill/1980,117,Introduced in Senate,IS,Farm Subsidy Transparency Act of 2021,https://www.congress.gov/117/bills/s1980/generated/BILLS-117s1980is.html,https://www.congress.gov/117/bills/s1980/BILLS-117s1980is.pdf
