Legislation Number,URL,Congress,Bill Text Type,Bill Text Type Code,Latest Title,HTML Url,PDF Url
S. 1318,https://www.congress.gov/bill/118th-congress/senate-bill/1318,118,Introduced in Senate,IS,Election Worker Protection Act of 2023,https://www.congress.gov/118/bills/s1318/generated/BILLS-118s1318is.html,https://www.congress.gov/118/bills/s1318/BILLS-118s1318is.pdf
S. 1072,https://www.congress.gov/bill/118th-congress/senate-bill/1072,118,Introduced in Senate,IS,PREP for All Students Act,https://www.congress.gov/118/bills/s1072/generated/BILLS-118s1072is.html,https://www.congress.gov/118/bills/s1072/BILLS-118s1072is.pdf
S. 533,https://www.congress.gov/bill/118th-congress/senate-bill/533,118,Introduced in Senate,IS,Transformation to Competitive Integrated Employment Act,https://www.congress.gov/118/bills/s533/generated/BILLS-118s533is.html,https://www.congress.gov/118/bills/s533/BILLS-118s533is.pdf
S. 719,https://www.congress.gov/bill/118th-congress/senate-bill/719,118,Introduced in Senate,IS,Precision Agriculture Loan Act of 2023,https://www.congress.gov/118/bills/s719/generated/BILLS-118s719is.html,https://www.congress.gov/118/bills/s719/BILLS-118s719is.pdf
S.Res. 147,https://www.congress.gov/bill/118th-congress/senate-resolution/147,118,Introduced in Senate,IS,"A resolution designating April 2023 as ""Preserving and Protecting Local News Month"" and recognizing the importance and significance of local news.",https://www.congress.gov/118/bills/sres147/generated/BILLS-118sres147is.html,https://www.congress.gov/118/bills/sres147/BILLS-118sres147is.pdf
S. 1801,https://www.congress.gov/bill/118th-congress/senate-bill/1801,118,Introduced in Senate,IS,LISTOS Act,https://www.congress.gov/118/bills/s1801/generated/BILLS-118s1801is.html,https://www.congress.gov/118/bills/s1801/BILLS-118s1801is.pdf
S. 3213,https://www.congress.gov/bill/118th-congress/senate-bill/3213,118,Introduced in Senate,IS,"Tech Safety for Victims of Domestic Violence, Dating Violence, Sexual Assault, and Stalking Act",https://www.congress.gov/118/bills/s3213/generated/BILLS-118s3213is.html,https://www.congress.gov/118/bills/s3213/BILLS-118s3213is.pdf
S. 1516,https://www.congress.gov/bill/118th-congress/senate-bill/1516,118,Introduced in Senate,IS,Supporting Apprenticeship Colleges Act of 2023,https://www.congress.gov/118/bills/s1516/generated/BILLS-118s1516is.html,https://www.congress.gov/118/bills/s1516/BILLS-118s1516is.pdf
S. 1376,https://www.congress.gov/bill/118th-congress/senate-bill/1376,118,Introduced in Senate,IS,Forced Arbitration Injustice Repeal Act,https://www.congress.gov/118/bills/s1376/generated/BILLS-118s1376is.html,https://www.congress.gov/118/bills/s1376/BILLS-118s1376is.pdf
S. 1058,https://www.congress.gov/bill/118th-congress/senate-bill/1058,118,Introduced in Senate,IS,Protection from Abusive Passengers Act,https://www.congress.gov/118/bills/s1058/generated/BILLS-118s1058is.html,https://www.congress.gov/118/bills/s1058/BILLS-118s1058is.pdf
S. 38,https://www.congress.gov/bill/118th-congress/senate-bill/38,118,Introduced in Senate,IS,Veteran Entrepreneurship Training Act of 2023,https://www.congress.gov/118/bills/s38/generated/BILLS-118s38is.html,https://www.congress.gov/118/bills/s38/BILLS-118s38is.pdf
S. 1651,https://www.congress.gov/bill/118th-congress/senate-bill/1651,118,Introduced in Senate,IS,Western Balkans Democracy and Prosperity Act,https://www.congress.gov/118/bills/s1651/generated/BILLS-118s1651is.html,https://www.congress.gov/118/bills/s1651/BILLS-118s1651is.pdf
S. 2445,https://www.congress.gov/bill/118th-congress/senate-bill/2445,118,Introduced in Senate,IS,Community-Based Gang Intervention Act,https://www.congress.gov/118/bills/s2445/generated/BILLS-118s2445is.html,https://www.congress.gov/118/bills/s2445/BILLS-118s2445is.pdf
S. 2441,https://www.congress.gov/bill/118th-congress/senate-bill/2441,118,Introduced in Senate,IS,Food for Thought Act of 2023,https://www.congress.gov/118/bills/s2441/generated/BILLS-118s2441is.html,https://www.congress.gov/118/bills/s2441/BILLS-118s2441is.pdf
S. 1594,https://www.congress.gov/bill/118th-congress/senate-bill/1594,118,Introduced in Senate,IS,Social Determinants for Moms Act,https://www.congress.gov/118/bills/s1594/generated/BILLS-118s1594is.html,https://www.congress.gov/118/bills/s1594/BILLS-118s1594is.pdf
S. 1282,https://www.congress.gov/bill/118th-congress/senate-bill/1282,118,Introduced in Senate,IS,Freedom to Move Act,https://www.congress.gov/118/bills/s1282/generated/BILLS-118s1282is.html,https://www.congress.gov/118/bills/s1282/BILLS-118s1282is.pdf
S.Res. 126,https://www.congress.gov/bill/118th-congress/senate-resolution/126,118,Agreed to Senate,ATS,A resolution recognizing the vital importance of the Mekong River to Southeast Asia and the role of the Mekong-United States Partnership in supporting the prosperity of the region.,https://www.congress.gov/118/bills/sres126/generated/BILLS-118sres126ats.html,https://www.congress.gov/118/bills/sres126/BILLS-118sres126ats.pdf
S.Res. 126,https://www.congress.gov/bill/118th-congress/senate-resolution/126,118,Introduced in Senate,IS,A resolution recognizing the vital importance of the Mekong River to Southeast Asia and the role of the Mekong-United States Partnership in supporting the prosperity of the region.,https://www.congress.gov/118/bills/sres126/generated/BILLS-118sres126is.html,https://www.congress.gov/118/bills/sres126/BILLS-118sres126is.pdf
S. 2838,https://www.congress.gov/bill/118th-congress/senate-bill/2838,118,Introduced in Senate,IS,Civilian Climate Corps for Jobs and Justice Act,https://www.congress.gov/118/bills/s2838/generated/BILLS-118s2838is.html,https://www.congress.gov/118/bills/s2838/BILLS-118s2838is.pdf
S. 762,https://www.congress.gov/bill/118th-congress/senate-bill/762,118,Introduced in Senate,IS,HCBS Access Act,https://www.congress.gov/118/bills/s762/generated/BILLS-118s762is.html,https://www.congress.gov/118/bills/s762/BILLS-118s762is.pdf
S. 96,https://www.congress.gov/bill/118th-congress/senate-bill/96,118,Introduced in Senate,IS,Justice for Black Farmers Act of 2023,https://www.congress.gov/118/bills/s96/generated/BILLS-118s96is.html,https://www.congress.gov/118/bills/s96/BILLS-118s96is.pdf
S. 2902,https://www.congress.gov/bill/118th-congress/senate-bill/2902,118,Introduced in Senate,IS,Tyler Clementi Higher Education Anti-Harassment Act of 2023,https://www.congress.gov/118/bills/s2902/generated/BILLS-118s2902is.html,https://www.congress.gov/118/bills/s2902/BILLS-118s2902is.pdf
S. 2560,https://www.congress.gov/bill/118th-congress/senate-bill/2560,118,Introduced in Senate,IS,Long COVID Support Act,https://www.congress.gov/118/bills/s2560/generated/BILLS-118s2560is.html,https://www.congress.gov/118/bills/s2560/BILLS-118s2560is.pdf
S. 1995,https://www.congress.gov/bill/118th-congress/senate-bill/1995,118,Introduced in Senate,IS,Public Health Infrastructure Saves Lives Act,https://www.congress.gov/118/bills/s1995/generated/BILLS-118s1995is.html,https://www.congress.gov/118/bills/s1995/BILLS-118s1995is.pdf
S. 1292,https://www.congress.gov/bill/118th-congress/senate-bill/1292,118,Introduced in Senate,IS,Flight Education Access Act,https://www.congress.gov/118/bills/s1292/generated/BILLS-118s1292is.html,https://www.congress.gov/118/bills/s1292/BILLS-118s1292is.pdf
S. 1148,https://www.congress.gov/bill/118th-congress/senate-bill/1148,118,Introduced in Senate,IS,Guardianship Bill of Rights Act,https://www.congress.gov/118/bills/s1148/generated/BILLS-118s1148is.html,https://www.congress.gov/118/bills/s1148/BILLS-118s1148is.pdf
S. 1293,https://www.congress.gov/bill/118th-congress/senate-bill/1293,118,Introduced in Senate,IS,Fair Housing for Survivors Act of 2023,https://www.congress.gov/118/bills/s1293/generated/BILLS-118s1293is.html,https://www.congress.gov/118/bills/s1293/BILLS-118s1293is.pdf
S. 767,https://www.congress.gov/bill/118th-congress/senate-bill/767,118,Introduced in Senate,IS,MINDS Act,https://www.congress.gov/118/bills/s767/generated/BILLS-118s767is.html,https://www.congress.gov/118/bills/s767/BILLS-118s767is.pdf
S. 609,https://www.congress.gov/bill/118th-congress/senate-bill/609,118,Introduced in Senate,IS,Necessary Entrepreneurship Workshops via the SBA to Transform and Assist Re-entry Training Act of 2023,https://www.congress.gov/118/bills/s609/generated/BILLS-118s609is.html,https://www.congress.gov/118/bills/s609/BILLS-118s609is.pdf
S. 495,https://www.congress.gov/bill/118th-congress/senate-bill/495,118,Introduced in Senate,IS,Expanding Veterans’ Options for Long Term Care Act,https://www.congress.gov/118/bills/s495/generated/BILLS-118s495is.html,https://www.congress.gov/118/bills/s495/BILLS-118s495is.pdf
